,Unnamed: 0,Name,Location,overall_rating,Num_Reviews,Cuisines,Score,rest_id,Score_New,Score_
104,104,Gohyang,Etobicoke,3.5,18,"Korean, Japanese, Chinese, Asian",0.176085467,104,3.880427335,676.085467
73,73,Ufficio,Dufferin Grove,3.5,16,Mediterranean,0.231934581,73,4.159672906,731.934581
108,108,Landmark Seafood Cuisine,Scarborough,3.5,15,"Dim Sum, Cantonese, Chinese, Asian",0.12026188,108,3.601309399,620.26188
29,29,Ye's Sushi,Oakville,,14,"Sushi, Japanese, Asian",0.020535714,29,3.102678571,520.535714
88,88,Kiu Japanese Restaurant,Markham,,14,Japanese,0.182490676,88,3.912453379,682.490676
2,2,Gyu-Kaku Japanese BBQ,St. Lawrence,,13,"Japanese, BBQ",0.144002365,2,3.720011825,644.002365
86,86,Belfast Love Public House,Fashion District,,13,"Pub, Bar Food",0.138693549,86,3.693467746,638.693549
78,78,The Boil Bar,Scarborough,,11,Seafood,0.129732873,78,3.648664367,629.732873
113,113,Tutto Pronto Ristorante,North York,,9,Italian,0.23033497,113,4.151674849,730.33497
111,111,Game of Cheese,Thornhill,,8,Asian Fusion,0.119896447,111,3.599482236,619.896447
98,98,Sabores Tradicionais,Carleton Village,,3,Portuguese,0.297048611,98,4.485243056,797.048611
